id,topic,speaker_1_en,speaker_1_gujlish,speaker_2_en,speaker_2_gujlish
2550,Gym/Fitness / Gym/Fitness,Weight training is tough!,Weight training to bau j hard che!,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
229,Ordering Food / Delhi Traffic,"Can I see the menu, please?",Menu joi shaku chu?,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.
1728,Old vs New Songs / Weather Changes,New songs have better beats.,Nava gaano ma beat saru hoy.,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
443,Asking Directions / Old vs New Songs,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
116,Weekend Plans / Cricket Match,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,India gave a strong performance!,India ye jabardast performance aapyu!
549,Asking Directions / Street vs Restaurant Food,Can you guide me to City Mall?,City Mall sudhi marg batavo?,Let’s eat outside today!,Chal aaje bahar jamva jaiye!
1053,Bollywood Movie / Old vs New Songs,That movie had great songs.,E movie ma khub sara gaana hata.,New songs have better beats.,Nava gaano ma beat saru hoy.
147,Weekend Plans / Weather Changes,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
2296,Weather Changes / Weekend Plans,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,Are you free this Sunday?,Aa Ravivare tamne time che?
1235,Delhi Traffic / Asking Directions,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Can you guide me to City Mall?,City Mall sudhi marg batavo?
62,Weekend Plans / Asking Directions,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
2450,Gym/Fitness / Weekend Plans,I started yoga recently.,Hu have yoga sharu karyu che.,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.
801,Cricket Match / Street vs Restaurant Food,I missed the final over.,Hu last over joi na shakyo.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
1175,Bollywood Movie / Weekend Plans,Who was the director?,Director kon hatu?,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.
2613,Gym/Fitness / Asking Directions,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1171,Bollywood Movie / Gym/Fitness,I liked the climax a lot.,Mane climax bau gamyu.,Weight training is tough!,Weight training to bau j hard che!
2228,Friend's Wedding / Old vs New Songs,The wedding was well organized.,Lagna khub saro rite thai.,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
839,Trip to Goa / Bollywood Movie,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,Who was the director?,Director kon hatu?
1245,Delhi Traffic / Bollywood Movie,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,That movie had great songs.,E movie ma khub sara gaana hata.
1080,Bollywood Movie / Asking Directions,The acting was average though.,Acting thodi average hati.,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?
1377,Delhi Traffic / Gym/Fitness,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
253,Ordering Food / Gym/Fitness,"Can I see the menu, please?",Menu joi shaku chu?,Weight training is tough!,Weight training to bau j hard che!
1570,Diwali Prep / Friend's Wedding,Have you bought crackers?,Tame patakha laya?,Did you see her wedding dress?,Tame eni wedding dress joi?
284,Ordering Food / Diwali Prep,Is the pav bhaji spicy?,Pav bhaji tikhi che?,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
2139,Friend's Wedding / Gym/Fitness,The food was really good!,Food toh khub j tasty hatu!,I started yoga recently.,Hu have yoga sharu karyu che.
1446,Diwali Prep / Trip to Goa,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,We should try water sports!,Aapde water sports try karva joie!
501,Asking Directions / Friend's Wedding,How far is the airport from here?,Ahiya thi airport ketlu door che?,They looked so happy together.,E loko khub j happy lagta hata.
846,Trip to Goa / Diwali Prep,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,Have you bought crackers?,Tame patakha laya?
499,Asking Directions / Friend's Wedding,How far is the airport from here?,Ahiya thi airport ketlu door che?,Did you see her wedding dress?,Tame eni wedding dress joi?
1350,Delhi Traffic / Bollywood Movie,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Who was the director?,Director kon hatu?
1927,Street vs Restaurant Food / Friend's Wedding,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.,Did you see her wedding dress?,Tame eni wedding dress joi?
1605,Diwali Prep / Bollywood Movie,Diwali shopping is still pending.,Diwali shopping to baki j che.,Who was the director?,Director kon hatu?
2606,Gym/Fitness / Ordering Food,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,"Can I see the menu, please?",Menu joi shaku chu?
1792,Old vs New Songs / Ordering Food,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,We’ll take two plates of dosa.,Ame be plate dosa levana che.
1002,Trip to Goa / Old vs New Songs,I can’t wait for this trip!,Hu aa trip mate excited chu!,New songs have better beats.,Nava gaano ma beat saru hoy.
1419,Delhi Traffic / Friend's Wedding,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,They looked so happy together.,E loko khub j happy lagta hata.
427,Asking Directions / Trip to Goa,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,I can’t wait for this trip!,Hu aa trip mate excited chu!
2125,Friend's Wedding / Old vs New Songs,The food was really good!,Food toh khub j tasty hatu!,New songs have better beats.,Nava gaano ma beat saru hoy.
1181,Bollywood Movie / Ordering Food,Who was the director?,Director kon hatu?,Do you serve cold coffee?,Tamare cold coffee male che?
986,Trip to Goa / Trip to Goa,I can’t wait for this trip!,Hu aa trip mate excited chu!,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
33,Weekend Plans / Old vs New Songs,Are you free this Sunday?,Aa Ravivare tamne time che?,New songs have better beats.,Nava gaano ma beat saru hoy.
500,Asking Directions / Friend's Wedding,How far is the airport from here?,Ahiya thi airport ketlu door che?,The food was really good!,Food toh khub j tasty hatu!
1827,Old vs New Songs / Friend's Wedding,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,They looked so happy together.,E loko khub j happy lagta hata.
1820,Old vs New Songs / Old vs New Songs,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
326,Ordering Food / Bollywood Movie,We’ll take two plates of dosa.,Ame be plate dosa levana che.,That movie had great songs.,E movie ma khub sara gaana hata.
882,Trip to Goa / Cricket Match,We should try water sports!,Aapde water sports try karva joie!,India gave a strong performance!,India ye jabardast performance aapyu!
1629,Diwali Prep / Gym/Fitness,Diwali shopping is still pending.,Diwali shopping to baki j che.,I started yoga recently.,Hu have yoga sharu karyu che.
1906,Street vs Restaurant Food / Trip to Goa,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
626,Cricket Match / Cricket Match,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,India gave a strong performance!,India ye jabardast performance aapyu!
1721,Old vs New Songs / Street vs Restaurant Food,New songs have better beats.,Nava gaano ma beat saru hoy.,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
484,Asking Directions / Delhi Traffic,How far is the airport from here?,Ahiya thi airport ketlu door che?,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.
1340,Delhi Traffic / Cricket Match,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Was it a close game?,Game tight hatu ke easy?
1268,Delhi Traffic / Weather Changes,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,It’s so hot these days!,Aaje kalak ghanu garmi che!
415,Asking Directions / Ordering Food,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,We’ll take two plates of dosa.,Ame be plate dosa levana che.
2484,Gym/Fitness / Old vs New Songs,I started yoga recently.,Hu have yoga sharu karyu che.,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
2497,Gym/Fitness / Gym/Fitness,I started yoga recently.,Hu have yoga sharu karyu che.,Weight training is tough!,Weight training to bau j hard che!
1947,Street vs Restaurant Food / Asking Directions,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?
2623,Gym/Fitness / Bollywood Movie,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,The acting was average though.,Acting thodi average hati.
174,Weekend Plans / Bollywood Movie,Do you want to watch a movie?,Movie jovani ichchha che tane?,The acting was average though.,Acting thodi average hati.
1577,Diwali Prep / Weather Changes,Have you bought crackers?,Tame patakha laya?,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
751,Cricket Match / Street vs Restaurant Food,India gave a strong performance!,India ye jabardast performance aapyu!,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
1037,Bollywood Movie / Trip to Goa,That movie had great songs.,E movie ma khub sara gaana hata.,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
894,Trip to Goa / Delhi Traffic,We should try water sports!,Aapde water sports try karva joie!,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
787,Cricket Match / Bollywood Movie,I missed the final over.,Hu last over joi na shakyo.,I liked the climax a lot.,Mane climax bau gamyu.
2247,Weather Changes / Weekend Plans,It’s so hot these days!,Aaje kalak ghanu garmi che!,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1633,Old vs New Songs / Weekend Plans,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,Are you free this Sunday?,Aa Ravivare tamne time che?
2548,Gym/Fitness / Gym/Fitness,Weight training is tough!,Weight training to bau j hard che!,I started yoga recently.,Hu have yoga sharu karyu che.
1146,Bollywood Movie / Delhi Traffic,I liked the climax a lot.,Mane climax bau gamyu.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
475,Asking Directions / Trip to Goa,How far is the airport from here?,Ahiya thi airport ketlu door che?,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
1282,Delhi Traffic / Ordering Food,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.,We’ll take two plates of dosa.,Ame be plate dosa levana che.
2141,Friend's Wedding / Gym/Fitness,The food was really good!,Food toh khub j tasty hatu!,I feel healthier now.,Mane have healthy feel thay che.
2194,Friend's Wedding / Weekend Plans,The wedding was well organized.,Lagna khub saro rite thai.,Are you free this Sunday?,Aa Ravivare tamne time che?
849,Trip to Goa / Old vs New Songs,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,New songs have better beats.,Nava gaano ma beat saru hoy.
1950,Street vs Restaurant Food / Asking Directions,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
2075,Friend's Wedding / Old vs New Songs,Did you see her wedding dress?,Tame eni wedding dress joi?,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
2299,Weather Changes / Weekend Plans,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,Do you want to watch a movie?,Movie jovani ichchha che tane?
2127,Friend's Wedding / Old vs New Songs,The food was really good!,Food toh khub j tasty hatu!,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
965,Trip to Goa / Weather Changes,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
2438,Weather Changes / Friend's Wedding,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Did you see her wedding dress?,Tame eni wedding dress joi?
2536,Gym/Fitness / Street vs Restaurant Food,Weight training is tough!,Weight training to bau j hard che!,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
613,Cricket Match / Weekend Plans,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,Are you free this Sunday?,Aa Ravivare tamne time che?
1979,Street vs Restaurant Food / Friend's Wedding,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,The food was really good!,Food toh khub j tasty hatu!
184,Weekend Plans / Diwali Prep,Do you want to watch a movie?,Movie jovani ichchha che tane?,Diwali shopping is still pending.,Diwali shopping to baki j che.
707,Cricket Match / Weather Changes,Was it a close game?,Game tight hatu ke easy?,It’s so hot these days!,Aaje kalak ghanu garmi che!
246,Ordering Food / Friend's Wedding,"Can I see the menu, please?",Menu joi shaku chu?,They looked so happy together.,E loko khub j happy lagta hata.
2460,Gym/Fitness / Asking Directions,I started yoga recently.,Hu have yoga sharu karyu che.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1341,Delhi Traffic / Cricket Match,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,India gave a strong performance!,India ye jabardast performance aapyu!
862,Trip to Goa / Weather Changes,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,I love winter mornings.,Mane sheet rutu ni savar bau game.
1831,Old vs New Songs / Weather Changes,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,I love winter mornings.,Mane sheet rutu ni savar bau game.
2016,Street vs Restaurant Food / Delhi Traffic,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,It’s better to use metro.,Metro vapravu kharekhar sari idea che.
2233,Friend's Wedding / Street vs Restaurant Food,The wedding was well organized.,Lagna khub saro rite thai.,Let’s eat outside today!,Chal aaje bahar jamva jaiye!
1447,Diwali Prep / Trip to Goa,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
83,Weekend Plans / Old vs New Songs,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
2178,Friend's Wedding / Old vs New Songs,They looked so happy together.,E loko khub j happy lagta hata.,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
1272,Delhi Traffic / Gym/Fitness,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,I started yoga recently.,Hu have yoga sharu karyu che.
2003,Street vs Restaurant Food / Cricket Match,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,Was it a close game?,Game tight hatu ke easy?
2343,Weather Changes / Gym/Fitness,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,I started yoga recently.,Hu have yoga sharu karyu che.
1320,Delhi Traffic / Weather Changes,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
2445,Weather Changes / Gym/Fitness,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,I started yoga recently.,Hu have yoga sharu karyu che.
909,Trip to Goa / Friend's Wedding,We should try water sports!,Aapde water sports try karva joie!,They looked so happy together.,E loko khub j happy lagta hata.
1068,Bollywood Movie / Gym/Fitness,That movie had great songs.,E movie ma khub sara gaana hata.,I started yoga recently.,Hu have yoga sharu karyu che.
1075,Bollywood Movie / Weekend Plans,The acting was average though.,Acting thodi average hati.,Do you want to watch a movie?,Movie jovani ichchha che tane?
2596,Gym/Fitness / Weather Changes,I feel healthier now.,Mane have healthy feel thay che.,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
1938,Street vs Restaurant Food / Gym/Fitness,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
2188,Friend's Wedding / Weather Changes,They looked so happy together.,E loko khub j happy lagta hata.,I love winter mornings.,Mane sheet rutu ni savar bau game.
1839,Street vs Restaurant Food / Weekend Plans,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1005,Trip to Goa / Street vs Restaurant Food,I can’t wait for this trip!,Hu aa trip mate excited chu!,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
1253,Delhi Traffic / Diwali Prep,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
357,Ordering Food / Gym/Fitness,We’ll take two plates of dosa.,Ame be plate dosa levana che.,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
1863,Street vs Restaurant Food / Delhi Traffic,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,It’s better to use metro.,Metro vapravu kharekhar sari idea che.
714,Cricket Match / Gym/Fitness,Was it a close game?,Game tight hatu ke easy?,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
2160,Friend's Wedding / Trip to Goa,They looked so happy together.,E loko khub j happy lagta hata.,We should try water sports!,Aapde water sports try karva joie!
287,Ordering Food / Old vs New Songs,Is the pav bhaji spicy?,Pav bhaji tikhi che?,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
914,Trip to Goa / Weather Changes,We should try water sports!,Aapde water sports try karva joie!,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
1025,Bollywood Movie / Ordering Food,That movie had great songs.,E movie ma khub sara gaana hata.,"Can I see the menu, please?",Menu joi shaku chu?
392,Ordering Food / Old vs New Songs,Do you serve cold coffee?,Tamare cold coffee male che?,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
2494,Gym/Fitness / Weather Changes,I started yoga recently.,Hu have yoga sharu karyu che.,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
1391,Delhi Traffic / Cricket Match,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,Was it a close game?,Game tight hatu ke easy?
87,Weekend Plans / Street vs Restaurant Food,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
2629,Gym/Fitness / Delhi Traffic,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
169,Weekend Plans / Trip to Goa,Do you want to watch a movie?,Movie jovani ichchha che tane?,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
990,Trip to Goa / Bollywood Movie,I can’t wait for this trip!,Hu aa trip mate excited chu!,The acting was average though.,Acting thodi average hati.
365,Ordering Food / Asking Directions,Do you serve cold coffee?,Tamare cold coffee male che?,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?
2376,Weather Changes / Diwali Prep,I love winter mornings.,Mane sheet rutu ni savar bau game.,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
2618,Gym/Fitness / Trip to Goa,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
743,Cricket Match / Diwali Prep,India gave a strong performance!,India ye jabardast performance aapyu!,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
239,Ordering Food / Old vs New Songs,"Can I see the menu, please?",Menu joi shaku chu?,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
2041,Friend's Wedding / Weekend Plans,Did you see her wedding dress?,Tame eni wedding dress joi?,Are you free this Sunday?,Aa Ravivare tamne time che?
1828,Old vs New Songs / Friend's Wedding,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,The wedding was well organized.,Lagna khub saro rite thai.
830,Trip to Goa / Cricket Match,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,Was it a close game?,Game tight hatu ke easy?
2011,Street vs Restaurant Food / Bollywood Movie,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,The acting was average though.,Acting thodi average hati.
1497,Diwali Prep / Trip to Goa,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.,We should try water sports!,Aapde water sports try karva joie!
733,Cricket Match / Trip to Goa,India gave a strong performance!,India ye jabardast performance aapyu!,I can’t wait for this trip!,Hu aa trip mate excited chu!
1814,Old vs New Songs / Diwali Prep,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
752,Cricket Match / Street vs Restaurant Food,India gave a strong performance!,India ye jabardast performance aapyu!,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
2517,Gym/Fitness / Trip to Goa,Weight training is tough!,Weight training to bau j hard che!,We should try water sports!,Aapde water sports try karva joie!
168,Weekend Plans / Cricket Match,Do you want to watch a movie?,Movie jovani ichchha che tane?,I missed the final over.,Hu last over joi na shakyo.
1402,Delhi Traffic / Delhi Traffic,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
731,Cricket Match / Trip to Goa,India gave a strong performance!,India ye jabardast performance aapyu!,We should try water sports!,Aapde water sports try karva joie!
1666,Old vs New Songs / Old vs New Songs,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
2565,Gym/Fitness / Cricket Match,I feel healthier now.,Mane have healthy feel thay che.,India gave a strong performance!,India ye jabardast performance aapyu!
1259,Delhi Traffic / Old vs New Songs,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
1954,Street vs Restaurant Food / Cricket Match,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,I missed the final over.,Hu last over joi na shakyo.
542,Asking Directions / Old vs New Songs,Can you guide me to City Mall?,City Mall sudhi marg batavo?,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
1241,Delhi Traffic / Trip to Goa,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
1420,Delhi Traffic / Friend's Wedding,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,The wedding was well organized.,Lagna khub saro rite thai.
2398,Weather Changes / Weekend Plans,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Are you free this Sunday?,Aa Ravivare tamne time che?
2226,Friend's Wedding / Old vs New Songs,The wedding was well organized.,Lagna khub saro rite thai.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
2361,Weather Changes / Cricket Match,I love winter mornings.,Mane sheet rutu ni savar bau game.,India gave a strong performance!,India ye jabardast performance aapyu!
2614,Gym/Fitness / Cricket Match,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
1405,Delhi Traffic / Diwali Prep,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
480,Asking Directions / Bollywood Movie,How far is the airport from here?,Ahiya thi airport ketlu door che?,The acting was average though.,Acting thodi average hati.
1104,Bollywood Movie / Old vs New Songs,The acting was average though.,Acting thodi average hati.,New songs have better beats.,Nava gaano ma beat saru hoy.
1147,Bollywood Movie / Delhi Traffic,I liked the climax a lot.,Mane climax bau gamyu.,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.
2297,Weather Changes / Weekend Plans,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.
150,Weekend Plans / Gym/Fitness,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,I started yoga recently.,Hu have yoga sharu karyu che.
1716,Old vs New Songs / Old vs New Songs,New songs have better beats.,Nava gaano ma beat saru hoy.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
160,Weekend Plans / Ordering Food,Do you want to watch a movie?,Movie jovani ichchha che tane?,Do you serve cold coffee?,Tamare cold coffee male che?
1244,Delhi Traffic / Trip to Goa,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,I can’t wait for this trip!,Hu aa trip mate excited chu!
353,Ordering Food / Weather Changes,We’ll take two plates of dosa.,Ame be plate dosa levana che.,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
21,Weekend Plans / Bollywood Movie,Are you free this Sunday?,Aa Ravivare tamne time che?,The acting was average though.,Acting thodi average hati.
705,Cricket Match / Friend's Wedding,Was it a close game?,Game tight hatu ke easy?,They looked so happy together.,E loko khub j happy lagta hata.
2257,Weather Changes / Cricket Match,It’s so hot these days!,Aaje kalak ghanu garmi che!,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
9,Weekend Plans / Asking Directions,Are you free this Sunday?,Aa Ravivare tamne time che?,How far is the airport from here?,Ahiya thi airport ketlu door che?
137,Weekend Plans / Old vs New Songs,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
773,Cricket Match / Ordering Food,I missed the final over.,Hu last over joi na shakyo.,Do you serve cold coffee?,Tamare cold coffee male che?
478,Asking Directions / Trip to Goa,How far is the airport from here?,Ahiya thi airport ketlu door che?,I can’t wait for this trip!,Hu aa trip mate excited chu!
635,Cricket Match / Bollywood Movie,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,Who was the director?,Director kon hatu?
506,Asking Directions / Weather Changes,How far is the airport from here?,Ahiya thi airport ketlu door che?,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
1266,Delhi Traffic / Friend's Wedding,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,They looked so happy together.,E loko khub j happy lagta hata.
1243,Delhi Traffic / Trip to Goa,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
1331,Delhi Traffic / Ordering Food,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,"Can I see the menu, please?",Menu joi shaku chu?
