id,topic,english,gujlish,weather_change_0_313
discussing_weekend_plans_0_104,Discussing weekend plans,We can have a photo shoot day.,Photo shoot day rakhiye?,
discussing_weekend_plans_0_105,Discussing weekend plans,Should we spend a day at the spa?,Ek divas spa ma bitaviye?,
discussing_weekend_plans_0_106,Discussing weekend plans,Let’s try geocaching around town.,Geocaching try kariye shaher ma?,
discussing_weekend_plans_0_107,Discussing weekend plans,Want to help at the community garden?,Community garden ma madad kariye?,
discussing_weekend_plans_0_108,Discussing weekend plans,Let's binge some classic movies.,Classic movies binge kariye?,
discussing_weekend_plans_0_109,Discussing weekend plans,Let’s go book hunting in old shops.,Old book shops ma book hunting kariye?,
discussing_weekend_plans_0_110,Discussing weekend plans,Should we plan a surprise picnic?,Surprise picnic plan kariye?,
discussing_weekend_plans_0_111,Discussing weekend plans,Let's attend a local cultural event.,Local cultural event ma jayiye?,
discussing_weekend_plans_0_112,Discussing weekend plans,Thinking of flying kites at the beach?,Beach par patang udaaviye?,
discussing_weekend_plans_0_113,Discussing weekend plans,We could go cafe hopping!,Cafe hopping kariye?,
discussing_weekend_plans_0_114,Discussing weekend plans,Let’s try learning salsa!,Salsa sikhva try kariye?,
discussing_weekend_plans_0_115,Discussing weekend plans,Want to make handmade cards?,Handmade cards banaviye?,
discussing_weekend_plans_0_116,Discussing weekend plans,We should make a weekend vlog!,Weekend vlog banaviye?,
discussing_weekend_plans_0_117,Discussing weekend plans,Let’s try a nature photography walk.,Nature photography walk kariye?,
discussing_weekend_plans_0_118,Discussing weekend plans,Up for karaoke night?,Karaoke night joye tamne?,
discussing_weekend_plans_0_119,Discussing weekend plans,Should we try out open mic?,Open mic ma try karvu che?,
discussing_weekend_plans_0_120,Discussing weekend plans,Feel like painting mugs together?,Mugs paint karva man che?,
discussing_weekend_plans_0_121,Discussing weekend plans,Let’s ride to the sunset point.,Sunset point sudhi ride kariye?,
discussing_weekend_plans_0_122,Discussing weekend plans,Shall we attend a night bazaar?,Night bazaar ma jayiye?,
discussing_weekend_plans_0_123,Discussing weekend plans,Let’s chill with street food!,Street food saathe chill kariye!,
discussing_weekend_plans_0_124,Discussing weekend plans,We can try origami at home.,Ghare origami try kariye?,
discussing_weekend_plans_0_125,Discussing weekend plans,How about a Netflix watch party?,Netflix watch party kariye?,
discussing_weekend_plans_0_126,Discussing weekend plans,Want to explore a new neighborhood?,Navi society explore karvi che?,
discussing_weekend_plans_0_127,Discussing weekend plans,Let's try making a fort at home!,Ghare ek fort banaviye?,
discussing_weekend_plans_0_128,Discussing weekend plans,Want to record a podcast episode?,Ek podcast record kariye?,
discussing_weekend_plans_0_129,Discussing weekend plans,Should we do some skywatching?,Aakash ni vaat kariye?,
discussing_weekend_plans_0_130,Discussing weekend plans,Let’s try ice skating if possible!,Ice skating try kariye jo thay to?,
discussing_weekend_plans_0_131,Discussing weekend plans,How about a homemade dessert contest?,Ghare dessert contest kariye?,
discussing_weekend_plans_0_132,Discussing weekend plans,Let's plan a surprise for someone!,Koinay surprise aapiye?,
discussing_weekend_plans_0_133,Discussing weekend plans,Want to spend the day in silence?,Ek divas maun vrat ma bitaviye?,
discussing_weekend_plans_0_134,Discussing weekend plans,Up for visiting a science center?,Science center ma jayiye?,
discussing_weekend_plans_0_135,Discussing weekend plans,How about a campfire night?,Campfire night kariye?,
discussing_weekend_plans_0_136,Discussing weekend plans,Let’s attend a weekend yoga retreat.,Weekend yoga retreat ma jayiye?,
discussing_weekend_plans_0_137,Discussing weekend plans,We could visit an aquarium.,Aquarium jayiye?,
discussing_weekend_plans_0_138,Discussing weekend plans,Try hot air ballooning this weekend?,Hot air ballooning try kariye?,
discussing_weekend_plans_0_139,Discussing weekend plans,What about exploring local temples?,Local mandir explore kariye?,
discussing_weekend_plans_0_140,Discussing weekend plans,How about making a scrapbook together?,Ek sath scrapbook banaviye?,
discussing_weekend_plans_0_141,Discussing weekend plans,Want to visit a new friend's place?,Nava friend na ghare jayiye?,
discussing_weekend_plans_0_142,Discussing weekend plans,Shall we organize our old photos?,Apda old photos organize kariye?,
discussing_weekend_plans_0_143,Discussing weekend plans,Let’s take a mini road trip!,Mini road trip par jayiye!,
discussing_weekend_plans_0_144,Discussing weekend plans,How about building a DIY project?,Ek DIY project banaviye?,
discussing_weekend_plans_0_145,Discussing weekend plans,Want to try homemade ice cream?,Ghare banavi ice cream try kariye?,
discussing_weekend_plans_0_146,Discussing weekend plans,Thinking of trying a spa foot soak?,Spa foot soak try karvu che?,
discussing_weekend_plans_0_147,Discussing weekend plans,Let’s paint together with music on.,Music sathe painting kariye?,
discussing_weekend_plans_0_148,Discussing weekend plans,Let’s try the new rooftop restaurant this weekend.,Aa weekend navi rooftop restaurant try kariye.,
discussing_weekend_plans_0_149,Discussing weekend plans,Do you want to go shopping on Saturday?,Saturday ne shopping javu che?,
discussing_weekend_plans_0_150,Discussing weekend plans,We could watch a comedy movie together.,Comedy movie saathe joiye.,
discussing_weekend_plans_0_151,Discussing weekend plans,How about a bike ride in the countryside?,Gaam ni taraf bike ride javi?,
discussing_weekend_plans_0_152,Discussing weekend plans,I want to try cooking a new recipe.,Hu navi recipe banavvu che try.,
discussing_weekend_plans_0_153,Discussing weekend plans,Do you want to visit the zoo?,Zoo javanu che tamne?,
discussing_weekend_plans_0_154,Discussing weekend plans,We should go to the amusement park.,Amusement park javu joie.,
discussing_weekend_plans_0_155,Discussing weekend plans,Let’s have a barbecue party in the evening.,Sanjh ne barbecue party kariye.,
discussing_weekend_plans_0_156,Discussing weekend plans,Are you free for a movie night on Friday?,Friday raat movie night mate free cho?,
discussing_weekend_plans_0_157,Discussing weekend plans,We can go for a long drive by the river.,Nadi kinaare long drive javu.,
discussing_weekend_plans_0_158,Discussing weekend plans,How about visiting the art gallery?,Art gallery javu kevu rahe?,
discussing_weekend_plans_0_159,Discussing weekend plans,I want to try roller skating again.,Hu pun roller skating try karvu chu.,
discussing_weekend_plans_0_160,Discussing weekend plans,Shall we make homemade pizza together?,Ghar ma pizza banaviye?,
discussing_weekend_plans_0_161,Discussing weekend plans,We can watch the stars at night.,Raatre taara joiye.,
discussing_weekend_plans_0_162,Discussing weekend plans,Let’s go for a coffee and chat.,Coffee lai ne vadhu vaat kariye.,
discussing_weekend_plans_0_163,Discussing weekend plans,Do you want to go for a swim?,Swimming javu che tamne?,
discussing_weekend_plans_0_164,Discussing weekend plans,How about a visit to the museum?,Museum javu kevu rahe?,
discussing_weekend_plans_0_165,Discussing weekend plans,We can bake cookies together.,Saath ma cookies bake kariye.,
discussing_weekend_plans_0_166,Discussing weekend plans,Let’s try yoga in the park.,Park ma yoga kariye.,
discussing_weekend_plans_0_167,Discussing weekend plans,We should watch the cricket match on TV.,TV par cricket match joiye.,
discussing_weekend_plans_0_168,Discussing weekend plans,Do you want to try painting together?,Painting try kariye?,
discussing_weekend_plans_0_169,Discussing weekend plans,Let’s visit the botanical garden.,Botanical garden javu che.,
discussing_weekend_plans_0_170,Discussing weekend plans,We can plan a small road trip.,Chhota road trip plan kariye.,
discussing_weekend_plans_0_171,Discussing weekend plans,I want to watch a thriller movie.,Thriller movie joiye chu.,
discussing_weekend_plans_0_172,Discussing weekend plans,How about going to a music concert?,Music concert javu che?,
discussing_weekend_plans_0_173,Discussing weekend plans,Let’s play board games at home.,Ghar ma board games khelie.,
discussing_weekend_plans_0_174,Discussing weekend plans,Do you want to try a new sport?,Navi sport try kariye?,
discussing_weekend_plans_0_175,Discussing weekend plans,We can visit the temple and pray.,Temple jai ne prarthana kariye.,
discussing_weekend_plans_0_176,Discussing weekend plans,Let’s watch cartoons and relax.,Cartoon joi ne relax kariye.,
discussing_weekend_plans_0_177,Discussing weekend plans,How about a visit to the book fair?,Book fair javu che?,
discussing_weekend_plans_0_178,Discussing weekend plans,We should try street food together.,Street food sathe try kariye.,
discussing_weekend_plans_0_179,Discussing weekend plans,Let’s go cycling around the lake.,Lake ni chhata cycling kariye.,
discussing_weekend_plans_0_180,Discussing weekend plans,Do you want to learn dancing?,Dance sikhvu che tamne?,
discussing_weekend_plans_0_181,Discussing weekend plans,We can have a movie marathon at home.,Ghar ma movie marathon kariye.,
discussing_weekend_plans_0_182,Discussing weekend plans,How about visiting the old fort?,Old fort javu che?,
discussing_weekend_plans_0_183,Discussing weekend plans,Let’s have ice cream after dinner.,Dinner pachi ice cream khayiye.,
discussing_weekend_plans_0_184,Discussing weekend plans,We can do some photography around town.,Shahar ma photography kariye.,
discussing_weekend_plans_0_185,Discussing weekend plans,Do you want to try meditation together?,Meditation try kariye?,
discussing_weekend_plans_0_186,Discussing weekend plans,We should visit the farmers’ market.,Farmers market javu che.,
discussing_weekend_plans_0_187,Discussing weekend plans,Let’s bake a cake for Sunday.,Sunday mate cake bake kariye.,
discussing_weekend_plans_0_188,Discussing weekend plans,How about a small garden picnic?,Chhota garden ma picnic kariye?,
discussing_weekend_plans_0_189,Discussing weekend plans,We can watch old classic movies.,Old classic movie joiye.,
discussing_weekend_plans_0_190,Discussing weekend plans,Do you want to try a painting workshop?,Painting workshop try kariye?,
discussing_weekend_plans_0_191,Discussing weekend plans,Let’s go fishing by the river.,Nadi kinaare fishing javu.,
discussing_weekend_plans_0_192,Discussing weekend plans,We can make homemade smoothies.,Ghar ma smoothies banaviye.,
discussing_weekend_plans_0_193,Discussing weekend plans,How about a treasure hunt game?,Treasure hunt khelvu che?,
discussing_weekend_plans_0_194,Discussing weekend plans,We should visit the local zoo.,Local zoo javu che.,
discussing_weekend_plans_0_195,Discussing weekend plans,Let’s cook traditional food together.,Traditional food saath banaviye.,
discussing_weekend_plans_0_196,Discussing weekend plans,Do you want to watch a dance performance?,Dance performance joiye?,
discussing_weekend_plans_0_197,Discussing weekend plans,We can make friendship bracelets.,Friendship bracelet banaviye.,
discussing_weekend_plans_0_198,Discussing weekend plans,Let’s go on a photo walk in the city.,City ma photo walk kariye.,
discussing_weekend_plans_0_199,Discussing weekend plans,We should visit the planetarium.,Planetarium javu che.,
discussing_weekend_plans_0_200,Discussing weekend plans,How about making a scrapbook of our memories?,Saath ma memories no scrapbook banaviye.,
discussing_weekend_plans_0_201,Discussing weekend plans,Let’s try kayaking on the lake this weekend.,Aa weekend lake par kayaking try kariye.,
discussing_weekend_plans_0_202,Discussing weekend plans,Do you want to visit the science center?,Science center javu che tamne?,
discussing_weekend_plans_0_203,Discussing weekend plans,We could organize a picnic at the park.,Park ma picnic organize kariye.,
discussing_weekend_plans_0_204,Discussing weekend plans,How about trying a new café in town?,Navi café try kariye shahar ma?,
discussing_weekend_plans_0_205,Discussing weekend plans,I want to learn how to play the guitar.,Guitar sikhvu che mane.,
discussing_weekend_plans_0_206,Discussing weekend plans,Let’s go bird watching early morning.,Savar savar bird watching javu.,
discussing_weekend_plans_0_207,Discussing weekend plans,We can take a pottery making class.,Pottery making class laiye.,
discussing_weekend_plans_0_208,Discussing weekend plans,Do you want to go hiking nearby?,Najik hiking javu che tamne?,
discussing_weekend_plans_0_209,Discussing weekend plans,Let’s try a new dessert recipe together.,Navi dessert recipe try kariye saath ma.,
discussing_weekend_plans_0_210,Discussing weekend plans,We should watch the sunset at the beach.,Beach par sunset joiye.,
discussing_weekend_plans_0_211,Discussing weekend plans,How about going to a jazz club?,Jazz club javu che?,
discussing_weekend_plans_0_212,Discussing weekend plans,Let’s play cricket at the ground.,Ground par cricket khelie.,
discussing_weekend_plans_0_213,Discussing weekend plans,Do you want to try baking bread at home?,Ghar par bread bake kariye?,
discussing_weekend_plans_0_214,Discussing weekend plans,We can visit the local library for new books.,Local library jayi ne navi kitab laiye.,
discussing_weekend_plans_0_215,Discussing weekend plans,Let’s have a movie night with popcorn.,Popcorn sathe movie night kariye.,
discussing_weekend_plans_0_216,Discussing weekend plans,How about volunteering at the animal shelter?,Animal shelter ma volunteer kariye?,
discussing_weekend_plans_0_217,Discussing weekend plans,We should go for a walk in the botanical garden.,Botanical garden ma walk javu.,
discussing_weekend_plans_0_218,Discussing weekend plans,Do you want to try kite flying this weekend?,Aa weekend kite flying try kariye?,
discussing_weekend_plans_0_219,Discussing weekend plans,Let’s have a potluck dinner at my place.,Mara ghar potluck dinner kariye.,
discussing_weekend_plans_0_220,Discussing weekend plans,We can explore a nearby village.,Najik no gaam explore kariye.,
discussing_weekend_plans_0_221,Discussing weekend plans,How about going for ice skating?,Ice skating javu che?,
discussing_weekend_plans_0_222,Discussing weekend plans,Do you want to join a photography contest?,Photography contest ma join kariye?,
discussing_weekend_plans_0_223,Discussing weekend plans,Let’s cook a traditional Gujarati thali.,Traditional Gujarati thali banaviye.,
discussing_weekend_plans_0_224,Discussing weekend plans,We can visit the amusement arcade.,Amusement arcade javu che.,
discussing_weekend_plans_0_225,Discussing weekend plans,How about a treasure hunt in the park?,Park ma treasure hunt kariye?,
discussing_weekend_plans_0_226,Discussing weekend plans,Let’s try a new fitness class.,Navi fitness class try kariye.,
discussing_weekend_plans_0_227,Discussing weekend plans,Do you want to go camping overnight?,Raatri camping javu che?,
discussing_weekend_plans_0_228,Discussing weekend plans,We can build a bonfire and share stories.,Bonfire banavi ne stories share kariye.,
discussing_weekend_plans_0_229,Discussing weekend plans,Let’s attend a local festival this weekend.,Aa weekend local festival attend kariye.,
discussing_weekend_plans_0_230,Discussing weekend plans,How about a cooking competition among friends?,Friends mathi cooking competition kariye?,
discussing_weekend_plans_0_231,Discussing weekend plans,We should visit the historical museum.,Historical museum javu che.,
discussing_weekend_plans_0_232,Discussing weekend plans,Do you want to join a dance workshop?,Dance workshop join kariye?,
discussing_weekend_plans_0_233,Discussing weekend plans,Let’s try cycling on the new trail.,Navi trail par cycling kariye.,
discussing_weekend_plans_0_234,Discussing weekend plans,We can have a karaoke night.,Karaoke night kariye.,
discussing_weekend_plans_0_235,Discussing weekend plans,How about visiting the butterfly park?,Butterfly park javu che?,
discussing_weekend_plans_0_236,Discussing weekend plans,Let’s organize a game night at home.,Ghar ma game night organize kariye.,
discussing_weekend_plans_0_237,Discussing weekend plans,Do you want to watch a play in the theater?,Theater ma play joiye?,
discussing_weekend_plans_0_238,Discussing weekend plans,We should try painting with watercolors.,Watercolors sathe painting try kariye.,
discussing_weekend_plans_0_239,Discussing weekend plans,Let’s visit the farmers’ market.,Farmers’ market javu che.,
discussing_weekend_plans_0_240,Discussing weekend plans,How about a bike ride along the river?,River najik bike ride kariye?,
discussing_weekend_plans_0_241,Discussing weekend plans,Do you want to try paddleboarding?,Paddleboarding try kariye?,
discussing_weekend_plans_0_242,Discussing weekend plans,We can attend a pottery exhibition.,Pottery exhibition attend kariye.,
discussing_weekend_plans_0_243,Discussing weekend plans,Let’s make homemade ice cream.,Ghar ma ice cream banaviye.,
discussing_weekend_plans_0_244,Discussing weekend plans,How about visiting a new bookstore?,Navi bookstore javu che?,
discussing_weekend_plans_0_245,Discussing weekend plans,Do you want to join a yoga retreat?,Yoga retreat join kariye?,
discussing_weekend_plans_0_246,Discussing weekend plans,We should try roller skating.,Roller skating try kariye.,
discussing_weekend_plans_0_247,Discussing weekend plans,Let’s have a BBQ party this weekend.,Aa weekend BBQ party kariye.,
discussing_weekend_plans_0_248,Discussing weekend plans,How about going on a boat ride?,Boat ride javu che?,
discussing_weekend_plans_0_249,Discussing weekend plans,Do you want to join a pottery workshop?,Pottery workshop join kariye?,
discussing_weekend_plans_0_250,Discussing weekend plans,We can visit the planetarium.,Planetarium javu che.,
discussing_weekend_plans_0_251,Discussing weekend plans,Let’s try rock climbing.,Rock climbing try kariye.,
