turn_id,topic,speaker,gujlish,english
28,Discussing weekend plans,Priya,It will. Apne plan sari rite karie to there shouldn't be any issues.,"It will. If we plan well, there shouldn't be any issues."
29,Discussing weekend plans,Arjun,"Sachi vat che. Oh, and Lonavala ma Maganlal chikki to compulsory levi padshe!","That's true. Oh, and in Lonavala, we must buy Maganlal chikki!"
30,Discussing weekend plans,Priya,"Haha, definitely! And some fudge too. E to tradition che Lonavala javani.","Haha, definitely! And some fudge too. That's a tradition when going to Lonavala."
31,Discussing weekend plans,Arjun,"Ekdam! Toh plan set che. Hiking, food, friends, and fun!","Absolutely! So the plan is set. Hiking, food, friends, and fun!"
32,Discussing weekend plans,Priya,Perfect. I'll start making a small checklist of things to carry.,Perfect. I'll start making a small checklist of things to carry.
33,Discussing weekend plans,Arjun,"Great! Mane list share karje, so I don't miss anything important.","Great! Share the list with me, so I don't miss anything important."
34,Discussing weekend plans,Priya,"Sure, I will. We should also decide on a budget for the trip, roughly.","Sure, I will. We should also decide on a budget for the trip, roughly."
35,Discussing weekend plans,Arjun,"Ha, petrol, tolls, and food. Ek andajo kadhi laiye to saru.","Yes, petrol, tolls, and food. It would be good to get an estimate."
36,Discussing weekend plans,Priya,"Day trip che એટલે not too expensive, but still good to have a figure in mind.","It's a day trip, so not too expensive, but still good to have a figure in mind."
37,Discussing weekend plans,Arjun,"Agreed. Chal, to pachi a badhi details final kari laiye by tomorrow evening?","Agreed. Okay, so shall we finalize all these details by tomorrow evening?"
38,Discussing weekend plans,Priya,"Yes, that works. So we have enough time for any last-minute preparations.","Yes, that works. So we have enough time for any last-minute preparations."
39,Discussing weekend plans,Arjun,"Aa weekend to bau yaadgar banse, I can feel it!","This weekend will be very memorable, I can feel it!"
40,Discussing weekend plans,Priya,"Fingers crossed! Hopefully, the weather gods will be kind to us.","Fingers crossed! Hopefully, the weather gods will be kind to us."
41,Discussing weekend plans,Arjun,"Jo weather kharab hoy, toh backup plan ma kai new game try karie? Board game cafe javu che?","If the weather is bad, should we try a new game as a backup plan? Want to go to a board game cafe?"
42,Discussing weekend plans,Priya,That's a good backup! I've heard about a new one that opened recently. It has a good collection.,That's a good backup! I've heard about a new one that opened recently. It has a good collection.
43,Discussing weekend plans,Arjun,"Saras! Toh plan A Lonavala, plan B board game cafe. Sorted che.","Nice! So plan A Lonavala, plan B board game cafe. It's sorted."
44,Discussing weekend plans,Priya,"Yes, having options is always better. Keeps the weekend flexible.","Yes, having options is always better. Keeps the weekend flexible."
45,Discussing weekend plans,Arjun,"Ekdam right. Mane to bas Friday evening ni vaat jovu chu, weekend shuru thay!",Absolutely right. I'm just waiting for Friday evening for the weekend to start!
46,Discussing weekend plans,Priya,Me too! This week at work has been quite hectic. A good break is much needed.,Me too! This week at work has been quite hectic. A good break is much needed.
47,Discussing weekend plans,Arjun,"Same here yaar. Chal, to pachi connect tomorrow with updates on our tasks.","Same here, friend. Okay, then let's connect tomorrow with updates on our tasks."
48,Discussing weekend plans,Priya,"Done. Looking forward to it! Have a good evening, Arjun.","Done. Looking forward to it! Have a good evening, Arjun."
49,Discussing weekend plans,Arjun,"You too, Priya! Mast plan banavyo apne. Thanks!","You too, Priya! We made a great plan. Thanks!"
50,Discussing weekend plans,Priya,"Teamwork makes the dream work! Chalo, have a good rest.","Teamwork makes the dream work! Okay, have a good rest."
51,Discussing weekend plans,Arjun,"Ha ha, barobar. Chal, good night! See you soon.","Haha, correct. Okay, good night! See you soon."
52,Discussing weekend plans,Priya,"Good night, Arjun! Can't wait for the weekend adventure.","Good night, Arjun! Can't wait for the weekend adventure."
53,Discussing weekend plans,Arjun,Adventure toh pakku! Ane jo hiking nathi thatu toh board games ma competition karishu!,"Adventure for sure! And if hiking doesn't happen, then we'll have a competition in board games!"
54,Discussing weekend plans,Priya,"Challenge accepted! But I hope hiking works out, nature ma javani alag j shanti che.","Challenge accepted! But I hope hiking works out, there's a different kind of peace in going to nature."
55,Discussing weekend plans,Arjun,"True yaar. Fresh air and greenery, best stress buster. City life thi break.","True friend. Fresh air and greenery, best stress buster. A break from city life."
56,Discussing weekend plans,Priya,Absolutely. We should also remember to wear comfortable shoes for the hike.,Absolutely. We should also remember to wear comfortable shoes for the hike.
57,Discussing weekend plans,Arjun,"Oh yes, very important. My trekking shoes are ready. Tame pan check kar lejo.","Oh yes, very important. My trekking shoes are ready. You also check yours."
58,Discussing weekend plans,Priya,I will. And maybe carry a light jacket? Lonavala can get a bit chilly in the mornings.,I will. And maybe carry a light jacket? Lonavala can get a bit chilly in the mornings.
59,Discussing weekend plans,Arjun,"Good point. Hu ek windcheater rakhi laish. Safety first, pachi masti.","Good point. I'll keep a windcheater. Safety first, then fun."
60,Discussing weekend plans,Priya,Exactly. And what about food on the way? Koi specific dhaba or restaurant in mind?,Exactly. And what about food on the way? Any specific dhaba or restaurant in mind?
61,Discussing weekend plans,Arjun,"Lonavala highway par Ramakant for misal pav, best che! Morning breakfast mate.","On the Lonavala highway, Ramakant for misal pav, it's the best! For morning breakfast."
62,Discussing weekend plans,Priya,"Oh, I've heard of it! Sounds delicious. That can be our breakfast stop.","Oh, I've heard of it! Sounds delicious. That can be our breakfast stop."
63,Discussing weekend plans,Arjun,"Pakku! Toh breakfast sorted. Lunch nu hiking pachi joi laisu, depends on how tired we are.","For sure! So breakfast is sorted. We'll see about lunch after hiking, depends on how tired we are."
64,Discussing weekend plans,Priya,Makes sense. We can find a good local place there for lunch.,Makes sense. We can find a good local place there for lunch.
65,Discussing weekend plans,Arjun,Or pachi return thata Pune ma koi mast jagya e jamishu. Options open rakhiye.,"Or else, while returning, we can eat at some great place in Pune. Let's keep options open."
66,Discussing weekend plans,Priya,"Yes, flexibility is key for a good trip. I am really looking forward to this break.","Yes, flexibility is key for a good trip. I am really looking forward to this break."
67,Discussing weekend plans,Arjun,Mane to em thay che ke Friday jaldi ave! Weekend ni energy j alag hoy che.,I just wish Friday comes soon! The energy of the weekend is just different.
68,Discussing weekend plans,Priya,So true. It recharges you for the whole next week.,So true. It recharges you for the whole next week.
69,Discussing weekend plans,Arjun,"Chal, Rohit ne message kari dau chhu about the plan. Let's see what he says.","Okay, I'm messaging Rohit about the plan. Let's see what he says."
70,Discussing weekend plans,Priya,Great. Keep me posted. Hu pan Sneha ne informally puchhi laish.,Great. Keep me posted. I'll also informally ask Sneha.
71,Discussing weekend plans,Arjun,"Perfect. Team Lonavala adventure, here we come!","Perfect. Team Lonavala adventure, here we come!"
72,Discussing weekend plans,Priya,"Or Team Board Game Champions, depending on the weather!","Or Team Board Game Champions, depending on the weather!"
73,Discussing weekend plans,Arjun,"Haha, either way, it's going to be a fantastic weekend. Bau time pachi kaik interesting karishu.","Haha, either way, it's going to be a fantastic weekend. We'll do something interesting after a long time."
74,Discussing weekend plans,Priya,Agreed. Sometimes just staying in the city feels monotonous. A change of scenery is always good.,Agreed. Sometimes just staying in the city feels monotonous. A change of scenery is always good.
75,Discussing weekend plans,Arjun,"Ekdam. City ma to ae j routine. Office, ghar, traffic. Kantalo ave che.","Exactly. In the city, it's the same routine. Office, home, traffic. It gets tiring."
76,Discussing weekend plans,Priya,True. That's why these small breaks are so important for mental well-being.,True. That's why these small breaks are so important for mental well-being.
77,Discussing weekend plans,Arjun,"Barobar. Chal, to pachi, plan execution mode on from tomorrow!","Correct. Okay, then, plan execution mode on from tomorrow!"
78,Discussing weekend plans,Priya,"Yes! Let's make this weekend memorable. I'll research some nice, not-too-crowded trails.","Yes! Let's make this weekend memorable. I'll research some nice, not-too-crowded trails."
79,Discussing weekend plans,Arjun,"Awesome. Ane ha, sun-screen pan yaad rakhje. Hiking ma skin tan thai jashe.","Awesome. And yes, remember sunscreen too. Skin will get tanned during hiking."
80,Discussing weekend plans,Priya,"Oh yes, good reminder! And a cap or hat would be useful too.","Oh yes, good reminder! And a cap or hat would be useful too."
81,Discussing weekend plans,Arjun,"Ha, ek list banavi de badhi necessary items ni. So we are fully prepared.","Yes, make a list of all necessary items. So we are fully prepared."
82,Discussing weekend plans,Priya,I'm on it. Will share it by tonight. Koi specific music playlist banaviye car journey mate?,I'm on it. Will share it by tonight. Should we make a specific music playlist for the car journey?
83,Discussing weekend plans,Arjun,Superb idea! Hu mari favorite road trip songs ni playlist share karish. Tu pan add karje tara songs.,Superb idea! I'll share my favorite road trip songs playlist. You also add your songs.
84,Discussing weekend plans,Priya,Sounds fun! A good playlist can really enhance the travel experience.,Sounds fun! A good playlist can really enhance the travel experience.
85,Discussing weekend plans,Arjun,Ekdam. Toh weekend plan is getting more and more detailed. Mast lagse.,Exactly. So the weekend plan is getting more and more detailed. It will be great.
86,Discussing weekend plans,Priya,"Yes, the more we plan, the smoother it will be. Chalo, work calls for now. Talk later!","Yes, the more we plan, the smoother it will be. Okay, work calls for now. Talk later!"
87,Discussing weekend plans,Arjun,"Okay Priya, catch you later! Weekend excitement has officially begun!","Okay Priya, catch you later! Weekend excitement has officially begun!"
88,Discussing weekend plans,Priya,"Haha, it has! Bye for now!","Haha, it has! Bye for now!"
89,Discussing weekend plans,Arjun,Bye! Rohit no reply ave etle hu tane update karish.,Bye! I'll update you when Rohit replies.
90,Discussing weekend plans,Priya,"Great, waiting for that. Make sure he understands it's a day trip, not an overnight stay.","Great, waiting for that. Make sure he understands it's a day trip, not an overnight stay."
91,Discussing weekend plans,Arjun,"Ha, e main point che. Day trip j rakhie to Sunday relax karva male.","Yes, that's the main point. If we keep it a day trip, we get Sunday to relax."
92,Discussing weekend plans,Priya,Exactly. Sunday evening sudhi ma ghare. So we are fresh for Monday.,Exactly. Home by Sunday evening. So we are fresh for Monday.
93,Discussing weekend plans,Arjun,Barobar. Sunday night full rest. Toh next week pan energetic rehvay.,Correct. Sunday night full rest. So we remain energetic next week too.
94,Discussing weekend plans,Priya,That's the ideal way to spend a weekend. A perfect balance of activity and rest.,That's the ideal way to spend a weekend. A perfect balance of activity and rest.
95,Discussing weekend plans,Arjun,"Couldn't agree more. Chal, bau thai gayi weekend planning. Let's get some work done.","Couldn't agree more. Okay, enough weekend planning. Let's get some work done."
96,Discussing weekend plans,Priya,Yes. Catch up tomorrow with the final details. Excited!,Yes. Catch up tomorrow with the final details. Excited!
97,Discussing weekend plans,Arjun,Me too! Aa weekend to full-on dhamaal hovi joiye!,Me too! This weekend should be full-on fun!
98,Discussing weekend plans,Priya,"Let's hope so. Careful driving pan important che, if we take the car.","Let's hope so. Careful driving is also important, if we take the car."
99,Discussing weekend plans,Arjun,"Absolutely, Priya. Safety first, always. Hu e matter ma bau particular chhu.","Absolutely, Priya. Safety first, always. I am very particular in that matter."
100,Discussing weekend plans,Priya,"Good to know. That puts my mind at ease. Chalo, I better run now.","Good to know. That puts my mind at ease. Okay, I better run now."
101,Discussing weekend plans,Arjun,"Okay, bye! Weekend fun ni taiyaari sharu!","Okay, bye! Preparations for weekend fun begin!"
102,Discussing weekend plans,Priya,"Looking forward to it. If Lonavala doesn't work, that board game cafe also needs proper research for games.","Looking forward to it. If Lonavala doesn't work, that board game cafe also needs proper research for games."
103,Discussing weekend plans,Arjun,"Ha, eni website check karvi padshe. Kai kai games che, seating capacity, food options, etc.","Yes, we'll have to check its website. What games they have, seating capacity, food options, etc."
104,Discussing weekend plans,Priya,"Exactly. We should book a table in advance if it's popular, especially on a weekend.","Exactly. We should book a table in advance if it's popular, especially on a weekend."
105,Discussing weekend plans,Arjun,"Right. Weekend par badhe j bhid hoy che. So, pre-booking is a smart move.","Right. Everywhere is crowded on weekends. So, pre-booking is a smart move."
106,Discussing weekend plans,Priya,"Also, some cafes have an entry fee or hourly charges for games. We should check that.","Also, some cafes have an entry fee or hourly charges for games. We should check that."
107,Discussing weekend plans,Arjun,"Good point. Budget ma e pan consider karvu padshe. Otherwise, surprise expense thai jashe.","Good point. We'll have to consider that in the budget too. Otherwise, it will be a surprise expense."
108,Discussing weekend plans,Priya,Yes. I'll add these points to my research list for the backup plan.,Yes. I'll add these points to my research list for the backup plan.
109,Discussing weekend plans,Arjun,"Saras. Tu research ma expert che. Mane trust che, best options j shodhi kadhish.","Nice. You are an expert in research. I trust you, you'll find the best options."
110,Discussing weekend plans,Priya,"Haha, I try my best. It's always good to be well-informed before making any plans.","Haha, I try my best. It's always good to be well-informed before making any plans."
111,Discussing weekend plans,Arjun,"Ekdam sachi vat. Chal, have finally, let's pause this planning. My brain needs a break.","Absolutely true. Okay, now finally, let's pause this planning. My brain needs a break."
112,Discussing weekend plans,Priya,Mine too. Weekend planning can be exhausting in itself! Talk to you tomorrow then.,Mine too. Weekend planning can be exhausting in itself! Talk to you tomorrow then.
113,Discussing weekend plans,Arjun,"Definitely. Can't wait for our exciting weekend, Priya!","Definitely. Can't wait for our exciting weekend, Priya!"
114,Discussing weekend plans,Priya,"Same here, Arjun! It’s going to be a much-needed change.","Same here, Arjun! It’s going to be a much-needed change."
115,Ordering food at a restaurant,Arjun,"Priya, aa restaurant no menu to bau extensive che! Shu order karshu?","Priya, this restaurant's menu is very extensive! What should we order?"
116,Ordering food at a restaurant,Priya,"Ha Arjun, I was just looking. So many options! Let's start with some appetizers. What do you feel like?","Yes Arjun, I was just looking. So many options! Let's start with some appetizers. What do you feel like?"
117,Ordering food at a restaurant,Arjun,Mane to kaik spicy and chatpatu khavanu man che. Paneer Tikka kem rehse?,I feel like eating something spicy and tangy. How about Paneer Tikka?
118,Ordering food at a restaurant,Priya,Paneer Tikka sounds good. Or maybe Hara Bhara Kebab? E thoda lighter hoy che.,Paneer Tikka sounds good. Or maybe Hara Bhara Kebab? Those are a bit lighter.
119,Ordering food at a restaurant,Arjun,"Hara Bhara Kebab pan saras option che. Chal, e try karie. Ane drinks ma?","Hara Bhara Kebab is also a good option. Okay, let's try that. And for drinks?"
120,Ordering food at a restaurant,Priya,"I think I'll go for a fresh lime soda, sweet and salty. Tu shu lesh?","I think I'll go for a fresh lime soda, sweet and salty. What will you have?"
121,Ordering food at a restaurant,Arjun,"Mane pan fresh lime soda j aapjo, pan only sweet. Salty nathi bhavtu.","I'll also have a fresh lime soda, but only sweet. I don't like salty."
122,Ordering food at a restaurant,Priya,"Okay. So, one Hara Bhara Kebab, one sweet fresh lime soda, and one sweet and salty. Main course nu pachi decide karie.","Okay. So, one Hara Bhara Kebab, one sweet fresh lime soda, and one sweet and salty. We'll decide the main course later."
123,Ordering food at a restaurant,Arjun,Perfect. Waiter ne bolavi ne order aapi de. Bau bhukh lagi che!,Perfect. Call the waiter and give the order. I'm very hungry!
124,Ordering food at a restaurant,Priya,"Haha, I can see that! Excuse me, waiter! Could you take our order for starters?","Haha, I can see that! Excuse me, waiter! Could you take our order for starters?"
125,Ordering food at a restaurant,Arjun,Starters aave tya sudhi main course discuss kari laiye. Mane to Dal Makhani and Butter Naan khava che.,Let's discuss the main course until the starters arrive. I want to eat Dal Makhani and Butter Naan.
126,Ordering food at a restaurant,Priya,Dal Makhani sounds a bit heavy for me. Maybe a mixed vegetable curry? Ane roti ma tandoori roti leshu?,"Dal Makhani sounds a bit heavy for me. Maybe a mixed vegetable curry? And for bread, shall we have tandoori roti?"
127,Ordering food at a restaurant,Arjun,Mixed veg pan chalshe. Pan Dal Makhani to mari favourite che! Please yaar.,"Mixed veg will also work. But Dal Makhani is my favourite! Please, friend."
128,Ordering food at a restaurant,Priya,"Okay, okay, we can order one Dal Makhani and one mixed veg. So we both get our choices. And a mix of naan and roti.","Okay, okay, we can order one Dal Makhani and one mixed veg. So we both get our choices. And a mix of naan and roti."
129,Ordering food at a restaurant,Arjun,Ekdam mast idea! Tu samji gayi mari feeling. Thanks Priya!,Absolutely great idea! You understood my feeling. Thanks Priya!
130,Ordering food at a restaurant,Priya,"No problem, Arjun. Sharing is caring, right? Especially with food.","No problem, Arjun. Sharing is caring, right? Especially with food."
131,Ordering food at a restaurant,Arjun,"Ha, jo aa starters aavi gaya! Hara Bhara Kebab looking delicious!","Yes, look, the starters have arrived! Hara Bhara Kebab looking delicious!"
132,Ordering food at a restaurant,Priya,"They do look good. Let's try them. Hopefully, they are as tasty as they look.","They do look good. Let's try them. Hopefully, they are as tasty as they look."
133,Ordering food at a restaurant,Arjun,"Mmm, taste to ekdam perfect che. Spicy pan barobar che. Mast choice hati aapni.","Mmm, the taste is absolutely perfect. The spice level is also just right. It was a great choice by us."
134,Ordering food at a restaurant,Priya,"Yes, they are really well made. The mint chutney is also very refreshing with it.","Yes, they are really well made. The mint chutney is also very refreshing with it."
135,Ordering food at a restaurant,Arjun,Aa fresh lime soda pan superb che. Ekdam thandi ane tasty.,This fresh lime soda is also superb. Very cold and tasty.
136,Ordering food at a restaurant,Priya,"Mine too. Just what I needed. So, for main course, should we tell him to make the mixed veg medium spicy?","Mine too. Just what I needed. So, for main course, should we tell him to make the mixed veg medium spicy?"
137,Ordering food at a restaurant,Arjun,"Ha, medium spicy barobar rehse. Bau spicy pan nahi ne bau mild pan nahi.","Yes, medium spicy will be fine. Not too spicy and not too mild."
138,Ordering food at a restaurant,Priya,"Okay. And for breads, two butter naans and two tandoori rotis? Or one garlic naan?","Okay. And for breads, two butter naans and two tandoori rotis? Or one garlic naan?"
139,Ordering food at a restaurant,Arjun,"Garlic naan! Good call! Ek garlic naan, ek butter naan, and be tandoori roti. Perfect combination.","Garlic naan! Good call! One garlic naan, one butter naan, and two tandoori rotis. Perfect combination."
140,Ordering food at a restaurant,Priya,Great. I think that should be enough food for both of us. Pachi dessert nu joishu.,Great. I think that should be enough food for both of us. We'll see about dessert later.
141,Ordering food at a restaurant,Arjun,Dessert mate to hamesha jagya hoy che! Maybe Gulab Jamun or Ice Cream?,There's always room for dessert! Maybe Gulab Jamun or Ice Cream?
142,Ordering food at a restaurant,Priya,Let's see. Depends on how heavy the main course feels. Sometimes they have kulfi which is also nice.,Let's see. Depends on how heavy the main course feels. Sometimes they have kulfi which is also nice.
143,Ordering food at a restaurant,Arjun,"Oh ha, Kulfi! Malai kulfi hoy toh best. Chal, waiter ne main course no order aapiye.","Oh yes, Kulfi! Malai kulfi would be the best. Okay, let's give the main course order to the waiter."
144,Ordering food at a restaurant,Priya,Excuse me! We are ready to order our main course now.,Excuse me! We are ready to order our main course now.
145,Ordering food at a restaurant,Arjun,Aa restaurant ni service pan sari che. Quick and attentive.,The service at this restaurant is also good. Quick and attentive.
146,Ordering food at a restaurant,Priya,"Yes, I agree. And the ambience is quite pleasant too. Not too noisy.","Yes, I agree. And the ambience is quite pleasant too. Not too noisy."
147,Ordering food at a restaurant,Arjun,"Barobar. Food experience ma badhu count thay che – taste, service, ambience.","Correct. Everything counts in a food experience – taste, service, ambience."
148,Ordering food at a restaurant,Priya,True. I hope the main course is as good as the starters. I'm looking forward to the Dal Makhani for you.,True. I hope the main course is as good as the starters. I'm looking forward to the Dal Makhani for you.
149,Ordering food at a restaurant,Arjun,"Haha, me too! Ek sari Dal Makhani can make my day.","Haha, me too! A good Dal Makhani can make my day."
150,Ordering food at a restaurant,Priya,We should also ask for some sliced onions and lemon wedges with the main course.,We should also ask for some sliced onions and lemon wedges with the main course.
151,Ordering food at a restaurant,Arjun,Good idea. Salad to joiye j Indian food sathe. Ek khas feel aave che.,Good idea. Salad is a must with Indian food. It gives a special feel.
152,Ordering food at a restaurant,Priya,Here comes our main course. It smells wonderful!,Here comes our main course. It smells wonderful!
153,Ordering food at a restaurant,Arjun,"Wow, Dal Makhani no colour to ekdam rich che! Ane mixed veg pan tempting lage che.","Wow, the color of the Dal Makhani is very rich! And the mixed veg also looks tempting."
154,Ordering food at a restaurant,Priya,Let's serve ourselves. Make sure to try a bit of everything.,Let's serve ourselves. Make sure to try a bit of everything.
155,Ordering food at a restaurant,Arjun,Definitely! Aa garlic naan to superb lage che. Ekdam soft and garlicky.,Definitely! This garlic naan looks superb. Very soft and garlicky.
156,Ordering food at a restaurant,Priya,The mixed vegetable is cooked perfectly. Not too oily and the vegetables are fresh.,The mixed vegetable is cooked perfectly. Not too oily and the vegetables are fresh.
157,Ordering food at a restaurant,Arjun,"Ane aa Dal Makhani... Priya, aa to heavenly che! Just perfect.","And this Dal Makhani... Priya, this is heavenly! Just perfect."
158,Ordering food at a restaurant,Priya,I'm glad you like it so much! Even I find it quite creamy and flavorful.,I'm glad you like it so much! Even I find it quite creamy and flavorful.
159,Ordering food at a restaurant,Arjun,Aa meal to full paisa vasool che. I'm really enjoying it.,This meal is total value for money. I'm really enjoying it.
160,Ordering food at a restaurant,Priya,Me too. It's been a while since we had such a satisfying Indian meal.,Me too. It's been a while since we had such a satisfying Indian meal.
161,Ordering food at a restaurant,Arjun,Sachi vat. Apne next time pan ahiya j avishu for Indian food.,True. We'll come here next time too for Indian food.
162,Ordering food at a restaurant,Priya,"Definitely a good option to keep in mind. Now, are you ready to think about dessert?","Definitely a good option to keep in mind. Now, are you ready to think about dessert?"
163,Ordering food at a restaurant,Arjun,Hamesha ready for dessert! Let's ask them if they have Malai Kulfi.,Always ready for dessert! Let's ask them if they have Malai Kulfi.
164,Ordering food at a restaurant,Priya,"Okay. Waiter, do you have Malai Kulfi in dessert? Or what are your specials?","Okay. Waiter, do you have Malai Kulfi in dessert? Or what are your specials?"
165,Ordering food at a restaurant,Arjun,Jo kulfi na hoy toh Gulab Jamun with vanilla ice cream pan chalshe.,"If they don't have kulfi, then Gulab Jamun with vanilla ice cream will also work."
166,Ordering food at a restaurant,Priya,"They have Gajar ka Halwa too, it's seasonal. That could be nice and warm.","They have Gajar ka Halwa too, it's seasonal. That could be nice and warm."
167,Ordering food at a restaurant,Arjun,Gajar ka Halwa! Winter ma to e best lage. Pan kulfi is kulfi yaar.,"Gajar ka Halwa! It tastes best in winter. But kulfi is kulfi, friend."
168,Ordering food at a restaurant,Priya,Waiter says they have fresh Malai Kulfi. Should we order two?,The waiter says they have fresh Malai Kulfi. Should we order two?
169,Ordering food at a restaurant,Arjun,"Yes, please! Be Malai Kulfi, jaldi thi! Perfect ending to a perfect meal.","Yes, please! Two Malai Kulfis, quickly! Perfect ending to a perfect meal."
170,Ordering food at a restaurant,Priya,I agree. This has been a delightful dinner experience.,I agree. This has been a delightful dinner experience.
171,Ordering food at a restaurant,Arjun,"Thanks for suggesting this place, Priya. Tari choice hamesha sari hoy che.","Thanks for suggesting this place, Priya. Your choice is always good."
172,Ordering food at a restaurant,Priya,"Glad you liked it. I read some good reviews online, so thought we should try it.","Glad you liked it. I read some good reviews online, so thought we should try it."
173,Ordering food at a restaurant,Arjun,Online reviews kaam aavi gaya! Aa kulfi to awesome che.,Online reviews came in handy! This kulfi is awesome.
174,Ordering food at a restaurant,Priya,It really is. Very creamy and not too sweet. Just perfect.,It really is. Very creamy and not too sweet. Just perfect.
175,Ordering food at a restaurant,Arjun,Ekdam satisfied chhu aaj na dinner thi. Full marks to the chef!,I'm completely satisfied with today's dinner. Full marks to the chef!
176,Ordering food at a restaurant,Priya,"Me too. Now, for the final part – the bill. Should we ask for it?","Me too. Now, for the final part – the bill. Should we ask for it?"
177,Ordering food at a restaurant,Arjun,"Ha, bill mangavi le. Apne split karishu, as usual.","Yes, ask for the bill. We'll split it, as usual."
178,Ordering food at a restaurant,Priya,"Of course. Waiter, could we have the bill, please?","Of course. Waiter, could we have the bill, please?"
179,Ordering food at a restaurant,Arjun,"Maja aavi gayi, Priya. We should do this more often. Explore new restaurants.","It was great fun, Priya. We should do this more often. Explore new restaurants."
