,topic,english,gujlish
28,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
29,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
30,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
31,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
32,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
33,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
34,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
35,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
36,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
37,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
38,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
39,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
40,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
41,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
42,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
43,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
44,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
45,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
46,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
47,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
48,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
49,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
50,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
51,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
52,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
53,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
54,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
55,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
56,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
57,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
58,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
59,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
60,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
61,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
62,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
63,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
64,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
65,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
66,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
67,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
68,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
69,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
70,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
71,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
72,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
73,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
74,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
75,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
76,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
77,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
78,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
79,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
80,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
81,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
82,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
83,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
84,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
85,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
86,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
87,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
88,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
89,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
90,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
91,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
92,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
93,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
94,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
95,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
96,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
97,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
98,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
99,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
100,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
101,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
102,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
103,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
104,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
105,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
106,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
107,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
108,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
109,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
110,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
111,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
112,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
113,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
114,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
115,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
116,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
117,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
118,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
119,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
120,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
121,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
122,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
123,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
124,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
125,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
126,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
127,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
128,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
129,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
130,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
131,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
132,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
133,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
134,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
135,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
136,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
137,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
138,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
139,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
140,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
141,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
142,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
143,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
144,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
145,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
146,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
147,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
148,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
149,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
150,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
151,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
152,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
153,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
154,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
155,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
156,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
157,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
158,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
159,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
160,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
161,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
162,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
163,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
164,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
165,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
166,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
167,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
168,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
169,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
170,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
171,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
172,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
173,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
174,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
175,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
176,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
177,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
178,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
179,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
180,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
181,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
182,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
183,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
184,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
185,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
186,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
187,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
188,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
189,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
190,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
191,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
192,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
193,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
194,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
195,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
196,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
197,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
198,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
199,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
200,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
201,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
202,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
203,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
204,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
205,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
206,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
207,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
208,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
209,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
210,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
211,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
212,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
213,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
214,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
215,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
216,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
217,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
218,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
219,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
220,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
221,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
222,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
223,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
224,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
225,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
226,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
227,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
228,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
229,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
230,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
231,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
232,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
233,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
234,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
235,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
236,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
237,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
238,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
239,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
240,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
241,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
242,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
243,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
244,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
245,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
246,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
247,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
248,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
249,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
250,Discussing weekend plans,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
251,Discussing weekend plans,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
252,Discussing weekend plans,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
253,Discussing weekend plans,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
254,Discussing weekend plans,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
255,Discussing weekend plans,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
