,topic,gujlish,english
26,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
27,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
28,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
29,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
30,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
31,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
32,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
33,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
34,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
35,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
36,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
37,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
38,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
39,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
40,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
41,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
42,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
43,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
44,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
45,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
46,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
47,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
48,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
49,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
50,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
51,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
52,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
53,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
54,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
55,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
56,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
57,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
58,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
59,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
60,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
61,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
62,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
63,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
64,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
65,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
66,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
67,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
68,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
69,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
70,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
71,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
72,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
73,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
74,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
75,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
76,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
77,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
78,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
79,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
80,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
81,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
82,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
83,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
84,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
85,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
86,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
87,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
88,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
89,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
90,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
91,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
92,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
93,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
94,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
95,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
96,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
97,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
98,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
99,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
100,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
101,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
102,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
103,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
104,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
105,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
106,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
107,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
108,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
109,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
110,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
111,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
112,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
113,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
114,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
115,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
116,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
117,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
118,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
119,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
120,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
121,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
122,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
123,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
124,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
125,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
126,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
127,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
128,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
129,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
130,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
131,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
132,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
133,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
134,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
135,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
136,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
137,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
138,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
139,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
140,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
141,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
142,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
143,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
144,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
145,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
146,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
147,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
148,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
149,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
150,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
151,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
152,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
153,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
154,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
155,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
156,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
157,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
158,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
159,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
160,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
161,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
162,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
163,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
164,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
165,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
166,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
167,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
168,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
169,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
170,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
171,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
172,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
173,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
174,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
175,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
176,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
177,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
178,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
179,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
180,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
181,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
182,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
183,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
184,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
185,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
186,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
187,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
188,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
189,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
190,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
191,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
192,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
193,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
194,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
195,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
196,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
197,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
198,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
199,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
200,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
201,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
202,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
203,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
204,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
205,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
206,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
207,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
208,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
209,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
210,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
211,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
212,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
213,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
214,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
215,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
216,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
217,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
218,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
219,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
220,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
221,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
222,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
223,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
224,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
225,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
226,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
227,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
228,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
229,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
230,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
231,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
232,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
233,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
234,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
235,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
236,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
237,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
238,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
239,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
240,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
241,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
242,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
243,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
244,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
245,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
246,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
247,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
248,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
249,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
250,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
251,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
252,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
253,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
254,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
255,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
256,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
257,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
258,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
259,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
260,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
261,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
262,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
263,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
264,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
265,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
266,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
267,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
268,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
269,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
270,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
271,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
272,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
273,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
274,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
275,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
276,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
277,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
278,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
279,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
280,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
281,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
282,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
283,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
284,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
285,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
286,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
287,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
288,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
289,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
290,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
291,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
292,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
293,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
294,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
295,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
296,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
297,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
298,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
299,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
300,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
301,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
302,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
303,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
304,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
305,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
306,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
307,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
308,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
309,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
